Date,Open,High,Low,Close,Volume,Market Cap
17-Oct-18,6590.52,6601.21,6517.45,6544.43," 4,088,420,000.00 "," 113,399,343,801.00 "
16-Oct-18,6601.41,6673.59,6571.37,6596.11," 4,074,800,000.00 "," 114,283,707,152.00 "
15-Oct-18,6292.64,6965.06,6258.68,6596.54," 7,370,770,000.00 "," 114,280,022,340.00 "
14-Oct-18,6288.49,6363.21,6280.15,6290.93," 3,085,320,000.00 "," 108,972,590,373.00 "
13-Oct-18,6278.08,6308.51,6259.81,6285.99," 3,064,030,000.00 "," 108,878,136,724.00 "
12-Oct-18,6239.25,6328.5,6236.47,6274.58," 3,783,500,000.00 "," 108,669,526,315.00 "
11-Oct-18,6586.74,6586.74,6243.74,6256.24," 5,181,640,000.00 "," 108,341,572,839.00 "
10-Oct-18,6640.29,6640.29,6538.96,6585.53," 3,787,650,000.00 "," 114,030,835,912.00 "
9-Oct-18,6653.08,6661.41,6606.94,6642.64," 3,580,810,000.00 "," 115,007,759,484.00 "
8-Oct-18,6600.19,6675.06,6576.04,6652.23," 3,979,460,000.00 "," 115,162,906,843.00 "
7-Oct-18,6590.68,6641.49,6557.04,6602.95," 3,306,630,000.00 "," 114,298,880,311.00 "
6-Oct-18,6622.45,6628.54,6577.8,6588.31," 3,259,740,000.00 "," 114,033,598,927.00 "
4-Oct-18,6497.91,6603.31,6497.91,6576.69," 3,838,410,000.00 "," 113,811,343,543.00 "
3-Oct-18,6553.86,6571.46,6454.03,6502.59," 3,887,310,000.00 "," 112,516,993,837.00 "
2-Oct-18,6593.24,6611.84,6537.9,6556.1," 3,979,260,000.00 "," 113,431,019,760.00 "
1-Oct-18,6619.85,6653.3,6549.08,6589.62," 4,000,970,000.00 "," 113,999,846,113.00 "
30-Sep-18,6604.71,6643.78,6566.54,6625.56," 4,002,280,000.00 "," 114,608,519,470.00 "
29-Sep-18,6643.1,6643.1,6511.65,6601.96," 4,363,690,000.00 "," 114,186,839,964.00 "
28-Sep-18,6678.75,6785.03,6598.32,6644.13," 5,014,430,000.00 "," 114,903,584,220.00 "
27-Sep-18,6495.29,6712.1,6464.95,6676.75," 4,606,810,000.00 "," 115,454,861,756.00 "
26-Sep-18,6452.79,6585.91,6397.89,6495," 4,437,300,000.00 "," 112,300,336,125.00 "
25-Sep-18,6603.64,6603.64,6381.86,6446.47," 4,726,180,000.00 "," 111,450,035,114.00 "
24-Sep-18,6704.77,6713.56,6580.9,6595.41," 4,177,310,000.00 "," 114,011,060,309.00 "
23-Sep-18,6715.32,6766.15,6679.42,6710.63," 4,197,500,000.00 "," 115,990,387,532.00 "
19-Sep-18,6371.85,6448.46,6208.34,6398.54," 4,431,340,000.00 "," 110,547,735,544.00 "
18-Sep-18,6280.91,6384.18,6265.71,6371.3," 4,180,090,000.00 "," 110,064,685,348.00 "
17-Sep-18,6514.06,6540.21,6257.52,6281.2," 3,910,780,000.00 "," 108,497,127,334.00 "
16-Sep-18,6536.68,6544.33,6460.1,6517.18," 3,273,730,000.00 "," 112,562,367,224.00 "
15-Sep-18,6509.4,6561.72,6493.55,6543.2," 3,216,300,000.00 "," 113,000,324,618.00 "
14-Sep-18,6515.41,6596.1,6456.17,6512.71," 4,076,220,000.00 "," 112,462,453,186.00 "
13-Sep-18,6354.24,6535.41,6354.24,6517.31," 4,210,910,000.00 "," 112,530,970,182.00 "
12-Sep-18,6317.01,6363.87,6265.09,6351.8," 4,064,230,000.00 "," 109,661,521,297.00 "
11-Sep-18,6331.88,6398.92,6260.21,6321.2," 3,849,910,000.00 "," 109,119,948,884.00 "
10-Sep-18,6301.57,6374.98,6292.76,6329.7," 3,714,100,000.00 "," 109,255,603,474.00 "
9-Sep-18,6223.38,6446.26,6201.22,6300.86," 3,671,890,000.00 "," 108,747,090,915.00 "
8-Sep-18,6460.17,6534.25,6197.52,6225.98," 3,835,060,000.00 "," 107,442,122,871.00 "
7-Sep-18,6528.92,6555.29,6396.87,6467.07," 4,264,680,000.00 "," 111,590,424,587.00 "
6-Sep-18,6755.14,6755.14,6404.72,6529.17," 5,523,470,000.00 "," 112,649,565,532.00 "
5-Sep-18,7361.46,7388.43,6792.83,6792.83," 5,800,460,000.00 "," 117,185,657,641.00 "
4-Sep-18,7263,7388.26,7255.44,7361.66," 4,273,640,000.00 "," 126,986,882,925.00 "
3-Sep-18,7279.03,7317.94,7208.15,7260.06," 4,087,760,000.00 "," 125,222,785,390.00 "
2-Sep-18,7189.58,7306.31,7132.16,7272.72," 4,329,540,000.00 "," 125,427,780,027.00 "
1-Sep-18,7044.81,7242.29,7038.05,7193.25," 4,116,050,000.00 "," 124,044,625,438.00 "
31-Aug-18,6973.97,7057.17,6920.16,7037.58," 4,495,650,000.00 "," 121,346,613,238.00 "
30-Aug-18,7043.76,7072.69,6834.69,6978.23," 4,463,250,000.00 "," 120,309,828,156.00 "
29-Aug-18,7091.71,7113.3,6970.82,7047.16," 4,145,880,000.00 "," 121,484,666,374.00 "
28-Aug-18,6891.08,7109.56,6882.34,7096.28," 4,659,940,000.00 "," 122,319,195,736.00 "
27-Aug-18,6710.8,6884.64,6689.71,6884.64," 4,019,000,000.00 "," 118,657,885,712.00 "
26-Aug-18,6754.64,6774.75,6620.75,6707.26," 3,295,500,000.00 "," 115,585,205,491.00 "
25-Aug-18,6719.95,6789.63,6700.96,6763.19," 3,312,600,000.00 "," 116,534,497,933.00 "
24-Aug-18,6551.52,6719.96,6498.64,6719.96," 4,097,820,000.00 "," 115,778,358,839.00 "
23-Aug-18,6371.34,6546.54,6371.34,6534.88," 3,426,180,000.00 "," 112,577,436,411.00 "
22-Aug-18,6486.25,6816.79,6310.11,6376.71," 4,668,110,000.00 "," 109,840,902,181.00 "
21-Aug-18,6301.07,6500.87,6298.24,6488.76," 3,377,180,000.00 "," 111,758,100,192.00 "
20-Aug-18,6500.51,6536.92,6297.93,6308.53," 3,665,100,000.00 "," 108,642,191,682.00 "
19-Aug-18,6422.57,6537.98,6361.55,6506.07," 3,311,170,000.00 "," 112,031,838,393.00 "
18-Aug-18,6583.43,6617.35,6353.73,6423.76," 3,984,520,000.00 "," 110,603,014,928.00 "
17-Aug-18,6340.91,6582.5,6324.97,6580.63," 4,992,990,000.00 "," 113,290,724,406.00 "
16-Aug-18,6294.23,6473.5,6276.41,6334.73," 4,328,420,000.00 "," 109,045,250,379.00 "
15-Aug-18,6221.42,6588.49,6221.42,6308.52," 4,895,450,000.00 "," 108,581,773,101.00 "
14-Aug-18,6287.66,6287.94,5971.05,6199.71," 5,301,700,000.00 "," 106,696,389,129.00 "
13-Aug-18,6341.36,6537.05,6225.72,6297.57," 4,083,980,000.00 "," 108,369,686,635.00 "
12-Aug-18,6283.65,6409.85,6237.5,6322.69," 5,665,250,000.00 "," 108,790,259,014.00 "
11-Aug-18,6185.79,6455.74,6109.03,6295.73," 4,047,850,000.00 "," 108,314,257,212.00 "
10-Aug-18,6571.42,6591.26,6124.52,6184.71," 4,528,680,000.00 "," 106,390,927,598.00 "
9-Aug-18,6305.56,6625.73,6249.07,6568.23," 4,267,040,000.00 "," 112,973,963,230.00 "
8-Aug-18,6746.85,6746.85,6226.22,6305.8," 5,064,430,000.00 "," 108,448,409,560.00 "
7-Aug-18,6958.32,7146.56,6748.24,6753.12," 4,682,800,000.00 "," 116,128,339,800.00 "
6-Aug-18,7062.94,7166.55,6890.54,6951.8," 3,925,900,000.00 "," 119,531,508,535.00 "
5-Aug-18,7031.08,7102.77,6940.7,7068.48," 3,679,110,000.00 "," 121,526,079,384.00 "
4-Aug-18,7438.67,7497.49,6984.07,7032.85," 4,268,390,000.00 "," 120,899,698,889.00 "
3-Aug-18,7562.14,7562.14,7328.65,7434.39," 4,627,150,000.00 "," 127,785,826,655.00 "
2-Aug-18,7634.19,7712.77,7523.44,7567.15," 4,214,110,000.00 "," 130,052,066,760.00 "
1-Aug-18,7769.04,7769.04,7504.95,7624.91," 4,797,620,000.00 "," 131,030,166,771.00 "
31-Jul-18,8181.2,8181.53,7696.93,7780.44," 5,287,530,000.00 "," 133,688,476,220.00 "
30-Jul-18,8221.58,8235.5,7917.5,8180.48," 5,551,400,000.00 "," 140,547,190,784.00 "
29-Jul-18,8205.82,8272.26,8141.18,8218.46," 4,107,190,016.00 "," 141,185,844,808.00 "
28-Jul-18,8169.06,8222.85,8110.77,8192.15," 3,988,750,080.00 "," 140,716,560,550.00 "
27-Jul-18,7950.4,8262.66,7839.76,8165.01," 5,195,879,936.00 "," 140,235,573,607.00 "
26-Jul-18,8176.85,8290.33,7878.71,7951.58," 4,899,089,920.00 "," 136,553,079,708.00 "
25-Jul-18,8379.66,8416.87,8086.36,8181.39," 5,845,400,064.00 "," 140,482,950,401.00 "
24-Jul-18,7716.51,8424.27,7705.5,8424.27," 7,277,689,856.00 "," 144,634,918,474.00 "
23-Jul-18,7414.71,7771.5,7409.1,7711.11," 5,132,480,000.00 "," 132,375,368,459.00 "
22-Jul-18,7417.8,7537.95,7383.82,7418.49," 3,695,460,096.00 "," 127,336,615,249.00 "
21-Jul-18,7352.72,7437.64,7262.41,7419.29," 3,726,609,920.00 "," 127,333,468,174.00 "
20-Jul-18,7467.4,7594.67,7323.26,7354.13," 4,936,869,888.00 "," 126,202,570,251.00 "
19-Jul-18,7378.2,7494.46,7295.46,7466.86," 5,111,629,824.00 "," 128,122,730,711.00 "
18-Jul-18,7315.32,7534.99,7280.47,7370.78," 6,103,410,176.00 "," 126,458,165,406.00 "
17-Jul-18,6739.65,7387.24,6684.17,7321.04," 5,961,950,208.00 "," 125,588,963,706.00 "
16-Jul-18,6357.01,6741.75,6357.01,6741.75," 4,725,799,936.00 "," 115,638,203,962.00 "
15-Jul-18,6272.7,6403.46,6256.51,6359.64," 3,285,459,968.00 "," 109,074,579,938.00 "
14-Jul-18,6247.5,6298.19,6212.22,6276.12," 2,923,670,016.00 "," 107,631,453,835.00 "
13-Jul-18,6235.03,6310.55,6192.24,6238.05," 3,805,400,064.00 "," 106,968,440,793.00 "
12-Jul-18,6396.78,6397.1,6136.42,6228.81," 3,770,170,112.00 "," 106,798,864,820.00 "
11-Jul-18,6330.77,6444.96,6330.47,6394.71," 3,644,859,904.00 "," 109,631,867,446.00 "
10-Jul-18,6739.21,6767.74,6320.72,6329.95," 4,052,430,080.00 "," 108,511,009,626.00 "
9-Jul-18,6775.08,6838.68,6724.34,6741.75," 3,718,129,920.00 "," 115,557,889,495.00 "
8-Jul-18,6857.8,6885.91,6747.98,6773.88," 3,386,210,048.00 "," 116,097,021,279.00 "
7-Jul-18,6668.71,6863.99,6579.24,6856.93," 3,961,080,064.00 "," 117,506,606,000.00 "
6-Jul-18,6638.69,6700.94,6533.55,6673.5," 4,313,959,936.00 "," 114,350,502,582.00 "
5-Jul-18,6599.71,6749.54,6546.65,6639.14," 4,999,240,192.00 "," 113,748,385,620.00 "
4-Jul-18,6550.87,6771.92,6450.46,6597.55," 4,176,689,920.00 "," 113,024,522,547.00 "
3-Jul-18,6596.66,6671.37,6447.75,6529.59," 4,672,309,760.00 "," 111,849,428,104.00 "
2-Jul-18,6380.38,6683.86,6305.7,6614.18," 4,396,930,048.00 "," 113,288,832,522.00 "
1-Jul-18,6411.68,6432.85,6289.29,6385.82," 4,788,259,840.00 "," 109,366,024,632.00 "
30-Jun-18,6214.22,6465.51,6214.22,6404," 4,543,860,224.00 "," 109,665,618,200.00 "
29-Jun-18,5898.13,6261.66,5835.75,6218.3," 3,966,230,016.00 "," 106,474,707,240.00 "
28-Jun-18,6153.16,6170.41,5873.05,5903.44," 3,467,800,064.00 "," 101,072,353,482.00 "
27-Jun-18,6084.4,6180,6052.85,6157.13," 3,296,219,904.00 "," 105,403,600,614.00 "
26-Jun-18,6253.55,6290.16,6093.67,6093.67," 3,279,759,872.00 "," 104,307,939,200.00 "
25-Jun-18,6171.97,6327.37,6119.68,6249.18," 5,500,810,240.00 "," 106,958,465,208.00 "
